,City,City ID,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Manjacaze,1040938,79.79,61,15,7.99,-24.71,33.88
2,Busselton,2075265,54.27,50,61,11.81,-33.64,115.35
3,Lazaro Cardenas,3996234,62.69,54,5,8.05,28.39,-105.62
4,Guiratinga,3461733,98.04,33,96,3.36,-16.35,-53.76
5,Albany,5106834,57.07,50,20,11.41,42.65,-73.75
6,Labuhan,1641899,75.96,80,0,2.57,-2.54,115.51
7,Punta Arenas,3874787,52.79,46,100,21.92,-53.16,-70.91
8,Lebu,344979,56.64,66,0,5.84,8.96,38.73
9,Kapaa,5848280,74.66,73,20,2.73,22.08,-159.32
10,Tahara,1851259,65.77,88,75,16.11,34.64,137.18
11,Tuktoyaktuk,6170031,17.6,85,90,10.29,69.44,-133.03
12,Waipawa,2185329,46,84,5,8.99,-39.94,176.59
13,Mount Gambier,2156643,59,77,90,32.21,-37.83,140.78
15,Hobart,2163355,65.75,52,100,11.41,-42.88,147.33
16,Beringovskiy,2126710,19.62,73,100,16.98,63.05,179.32
17,Durazno,3442727,71.6,40,20,11.41,-33.38,-56.52
18,Hue,1580240,80.6,88,40,3.36,16.47,107.58
19,Fortuna,5563839,47.41,81,1,10.29,40.6,-124.16
20,Avarua,4035715,69.8,94,5,2.24,-21.21,-159.78
21,Fayaoue,2141305,71.04,75,96,18.52,-20.65,166.53
22,Geraldton,5960603,32,77,90,10.29,49.72,-86.95
23,Hofn,2630299,39.2,48,75,23.04,64.25,-15.21
24,Hithadhoo,1282256,78.94,83,100,10.74,-0.6,73.08
25,Selizharovo,497661,47.79,87,100,4.61,56.86,33.45
26,Isiro,215771,81.25,66,28,2.84,2.77,27.62
27,Port Hedland,2063042,75.2,44,0,8.05,-20.31,118.58
29,Lokosovo,1500399,28.13,81,100,12.91,61.13,74.84
30,Grindavik,3416888,31.28,66,75,34.45,63.84,-22.43
31,Muros,3115824,59.95,100,75,8.05,42.77,-9.06
32,Arraial do Cabo,3471451,77.92,69,75,18.34,-22.97,-42.02
33,Gimli,5961417,34.56,93,33,5.99,50.63,-96.99
34,Calama,3897347,71.01,10,1,5.82,-22.46,-68.93
35,Vaini,1273574,68,88,75,13.87,15.34,74.49
36,Mataura,6201424,46,83,93,18.99,-46.19,168.86
37,Leningradskiy,2123814,18.25,73,50,25.46,69.38,178.42
38,Manggar,1636426,82.27,76,100,10.09,-2.88,108.27
39,Shubarkuduk,608271,51.89,65,5,7.87,49.15,56.49
40,Mount Isa,2065594,69.8,43,0,7.45,-20.73,139.49
42,Kodiak,4407665,42.57,65,75,9.17,39.95,-94.76
43,Te Anau,2181625,39.22,85,100,6.85,-45.41,167.72
45,Port Alfred,964432,66,85,100,5.01,-33.59,26.89
46,Hermanus,3366880,66.99,47,96,5.99,-34.42,19.24
47,Ushuaia,3833367,48.99,66,75,12.75,-54.81,-68.31
48,Mogok,1308937,65.79,98,90,0.69,22.92,96.51
49,Jamestown,2069194,53.78,86,100,16.55,-33.21,138.6
50,Cabo San Lucas,3985710,78.12,65,5,2.24,22.89,-109.91
51,Goderich,5962442,48.56,78,55,1.01,43.74,-81.71
52,Hilo,5855927,68.94,64,1,6.93,19.71,-155.08
53,Pemba,1028918,80.6,94,20,11.41,-12.97,40.52
54,Wells,2634569,56.48,76,40,13.87,51.21,-2.64
55,Alcudia,2522091,66.63,59,0,9.17,39.85,3.12
56,Narsaq,3421719,32,69,40,1.12,60.91,-46.05
57,Butaritari,2110227,84.2,69,44,6.29,3.07,172.79
58,Rikitea,4030556,71.51,85,88,22.41,-23.12,-134.97
59,Tura,2014833,13.06,96,86,3.65,64.27,100.22
60,Coihaique,3894426,52.34,54,75,9.17,-45.58,-72.07
61,Matara,425378,66.83,84,83,4.12,-3.48,29.48
62,Georgetown,3378644,85.86,70,75,11.41,6.8,-58.16
63,Mujiayingzi,2035707,31.77,48,1,19.22,42.12,118.78
64,Cuiluan,2033413,41.59,73,100,4.16,47.72,128.65
65,Bredasdorp,1015776,68,45,100,8.05,-34.53,20.04
66,Moindou,2140466,62.6,67,20,2.15,-21.69,165.68
69,Port Lincoln,2063036,55.42,76,0,17.85,-34.72,135.86
70,Yaring,1604771,77,94,20,5.82,6.87,101.37
